ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,56760475.74585127,45201200.579441965,63246728.50886139,56760475.74585127,56760475.74585127,-2415668.540889048,-2415668.540889048,-2415668.540889048,26329.720473280762,26329.720473280762,26329.720473280762,-2441998.2613623287,-2441998.2613623287,-2441998.2613623287,0.0,0.0,0.0,54344807.204962224
2023-01-02,56759146.9662929,43917285.17818247,61642274.1828797,56759146.9662929,56759146.9662929,-3652125.050134008,-3652125.050134008,-3652125.050134008,-1086491.780520169,-1086491.780520169,-1086491.780520169,-2565633.2696138383,-2565633.2696138383,-2565633.2696138383,0.0,0.0,0.0,53107021.91615889
2023-01-03,56757818.18673453,44913486.54703887,62339570.37016651,56757818.18673453,56757818.18673453,-3496468.1598530603,-3496468.1598530603,-3496468.1598530603,-859143.5992364108,-859143.5992364108,-859143.5992364108,-2637324.5606166497,-2637324.5606166497,-2637324.5606166497,0.0,0.0,0.0,53261350.026881464
2023-01-04,56756489.40717616,45197773.285664454,63729612.98451368,56756489.40717616,56756489.40717616,-2082392.3492689973,-2082392.3492689973,-2082392.3492689973,572021.3035172244,572021.3035172244,572021.3035172244,-2654413.652786222,-2654413.652786222,-2654413.652786222,0.0,0.0,0.0,54674097.057907164
2023-01-05,56755160.62761779,45057908.116515,63772417.95616208,56755160.62761779,56755160.62761779,-2192286.197652559,-2192286.197652559,-2192286.197652559,423331.8324050043,423331.8324050043,423331.8324050043,-2615618.030057563,-2615618.030057563,-2615618.030057563,0.0,0.0,0.0,54562874.429965235
2023-01-06,56753831.848059416,45118644.83154688,64910079.3538935,56753831.848059416,56753831.848059416,-1854735.7343010753,-1854735.7343010753,-1854735.7343010753,666336.9238910124,666336.9238910124,666336.9238910124,-2521072.658192088,-2521072.658192088,-2521072.658192088,0.0,0.0,0.0,54899096.11375834
2023-01-07,56752503.06850105,45201374.04270245,63778666.037693515,56752503.06850105,56752503.06850105,-2114718.4032824365,-2114718.4032824365,-2114718.4032824365,257615.5994732073,257615.5994732073,257615.5994732073,-2372334.002755644,-2372334.002755644,-2372334.002755644,0.0,0.0,0.0,54637784.665218614
2023-01-08,56751174.28894268,44966646.50436823,64339726.332720384,56751174.28894268,56751174.28894268,-2146016.615748916,-2146016.615748916,-2146016.615748916,26329.720473736532,26329.720473736532,26329.720473736532,-2172346.336222653,-2172346.336222653,-2172346.336222653,0.0,0.0,0.0,54605157.67319377
2023-01-09,56749845.509384304,45393704.497754075,63196239.828049645,56749845.509384304,56749845.509384304,-3011862.9227066673,-3011862.9227066673,-3011862.9227066673,-1086491.7805201572,-1086491.7805201572,-1086491.7805201572,-1925371.1421865094,-1925371.1421865094,-1925371.1421865094,0.0,0.0,0.0,53737982.58667764
2023-01-10,56748516.72982593,44803942.246378094,63141682.269305915,56748516.72982593,56748516.72982593,-2496025.0240112906,-2496025.0240112906,-2496025.0240112906,-859143.5992376962,-859143.5992376962,-859143.5992376962,-1636881.4247735944,-1636881.4247735944,-1636881.4247735944,0.0,0.0,0.0,54252491.70581464
